event_name,date,fighter_1_name,fighter_2_name,fighter_1_url,fighter_2_url,fighter_1_str,fighter_2_str,fighter_1_td,fighter_2_td,fighter_1_sub,fighter_2_sub,fighter_1_pass,fighter_2_pass,weight_class,win_method,win_round,win_time,winner,fight_url
UFC_Fight_Night-Poirier_vs_Hooker,"June 27, 2020",Dustin Poirier,Dan Hooker,http://www.ufcstats.com/fighter-details/029eaff01e6bb8f0,http://www.ufcstats.com/fighter-details/193b9d1858bc4df3,153.0,155.0,1.0,4.0,4.0,0.0,1.0,0.0,Lightweight,U-DEC,5,5:00,fighter_1,http://www.ufcstats.com/fight-details/f8dd1e75978a3957
UFC_Fight_Night-Poirier_vs_Hooker,"June 27, 2020",Mike Perry,Mickey Gall,http://www.ufcstats.com/fighter-details/f2b6fdb20675b11c,http://www.ufcstats.com/fighter-details/9e50097a89442158,76.0,55.0,1.0,0.0,0.0,0.0,6.0,0.0,Welterweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/f2d9814936a6eb35
UFC_Fight_Night-Poirier_vs_Hooker,"June 27, 2020",Maurice Greene,Gian Villante,http://www.ufcstats.com/fighter-details/068f8a189a47fea6,http://www.ufcstats.com/fighter-details/fcd448a2fe1a23cc,63.0,72.0,0.0,0.0,1.0,0.0,0.0,1.0,Heavyweight,"SUB, Arm, Triangle",3,3:44,fighter_1,http://www.ufcstats.com/fight-details/9ce56acac775d386
UFC_Fight_Night-Poirier_vs_Hooker,"June 27, 2020",Brendan Allen,Kyle Daukaus,http://www.ufcstats.com/fighter-details/2f181c0467965b98,http://www.ufcstats.com/fighter-details/d6c0cdd7e467c440,41.0,34.0,0.0,3.0,0.0,0.0,4.0,4.0,Middleweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/cfd47fddbb705f26
UFC_Fight_Night-Poirier_vs_Hooker,"June 27, 2020",Takashi Sato,Jason Witt,http://www.ufcstats.com/fighter-details/8abac218746e04ca,http://www.ufcstats.com/fighter-details/5f3805dda9661cba,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Welterweight,"KO/TKO, Punches",1,0:48,fighter_1,http://www.ufcstats.com/fight-details/67ed3ad521ef619c
UFC_Fight_Night-Poirier_vs_Hooker,"June 27, 2020",Julian Erosa,Sean Woodson,http://www.ufcstats.com/fighter-details/902ec2cc48c8ae8a,http://www.ufcstats.com/fighter-details/4682bc59d5f55145,103.0,106.0,3.0,0.0,1.0,0.0,0.0,0.0,Catch Weight,"SUB, D'Arce, Choke",3,2:44,fighter_1,http://www.ufcstats.com/fight-details/8a8fea2c10512434
UFC_Fight_Night-Poirier_vs_Hooker,"June 27, 2020",Khama Worthy,Luis Pena,http://www.ufcstats.com/fighter-details/78e501478a36a018,http://www.ufcstats.com/fighter-details/2844b047183a1adb,55.0,38.0,0.0,3.0,1.0,3.0,0.0,6.0,Lightweight,"SUB, Guillotine, Choke",3,2:53,fighter_1,http://www.ufcstats.com/fight-details/9025e3c6b6d71253
UFC_Fight_Night-Poirier_vs_Hooker,"June 27, 2020",Tanner Boser,Philipe Lins,http://www.ufcstats.com/fighter-details/04c8b08b16a5b99e,http://www.ufcstats.com/fighter-details/53c943c873cffe90,15.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,Heavyweight,"KO/TKO, Punches",1,2:41,fighter_1,http://www.ufcstats.com/fight-details/75570ea2da94a4fb
UFC_Fight_Night-Poirier_vs_Hooker,"June 27, 2020",Kay Hansen,Jinh Yu Frey,http://www.ufcstats.com/fighter-details/4100c7a09497ad41,http://www.ufcstats.com/fighter-details/d05cb1e8d1b885d8,31.0,26.0,2.0,0.0,1.0,0.0,2.0,0.0,Women's Strawweight,"SUB, Armbar",3,2:26,fighter_1,http://www.ufcstats.com/fight-details/1b8d366ac0f110f3
UFC_Fight_Night-Poirier_vs_Hooker,"June 27, 2020",Youssef Zalal,Jordan Griffin,http://www.ufcstats.com/fighter-details/52c2ae6d2f2d2613,http://www.ufcstats.com/fighter-details/ebef46976554f975,59.0,28.0,0.0,2.0,0.0,0.0,0.0,2.0,Featherweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/0f369d09416b9e34
