event_name,date,fighter_1_name,fighter_2_name,fighter_1_str,fighter_2_str,fighter_1_td,fighter_2_td,fighter_1_sub,fighter_2_sub,fighter_1_pass,fighter_2_pass,weight_class,win_method,win_round,win_time,winner,fight_url
UFC_Fight_Night-Lee_vs_Oliveira,"March 14, 2020",Charles Oliveira,Kevin Lee,43,41,0,2,2,0,0,2,Lightweight,"SUB, Guillotine, Choke",3,0:28,fighter_1,http://www.ufcstats.com/fight-details/e0b323dae5bf4c90
UFC_Fight_Night-Lee_vs_Oliveira,"March 14, 2020",Gilbert Burns,Demian Maia,13,4,0,2,0,0,0,1,Welterweight,"KO/TKO, Punch",1,2:34,fighter_1,http://www.ufcstats.com/fight-details/5cee1d8f1e43d6f5
UFC_Fight_Night-Lee_vs_Oliveira,"March 14, 2020",Renato Moicano,Damir Hadzovic,1,1,1,0,1,0,1,0,Lightweight,"SUB, Rear, Naked, Choke",1,0:44,fighter_1,http://www.ufcstats.com/fight-details/c26a3f4c08333886
UFC_Fight_Night-Lee_vs_Oliveira,"March 14, 2020",Nikita Krylov,Johnny Walker,45,37,3,0,0,0,4,2,Light Heavyweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/5bba49d88db7430f
UFC_Fight_Night-Lee_vs_Oliveira,"March 14, 2020",Francisco Trinaldo,John Makdessi,55,67,0,0,0,0,0,0,Lightweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/dc45c8d70e256749
UFC_Fight_Night-Lee_vs_Oliveira,"March 14, 2020",Brandon Moreno,Jussier Formiga,33,15,0,1,0,1,1,3,Flyweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/b3c74554c871fbf8
UFC_Fight_Night-Lee_vs_Oliveira,"March 14, 2020",Amanda Ribas,Randa Markos,85,36,1,1,2,0,4,0,Women's Strawweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/ea303a8e6e31f264
UFC_Fight_Night-Lee_vs_Oliveira,"March 14, 2020",Elizeu Zaleski dos Santos,Aleksei Kunchenko,62,57,2,0,0,0,0,0,Welterweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/9fc6aba53508dc48
UFC_Fight_Night-Lee_vs_Oliveira,"March 14, 2020",Rani Yahya,Enrique Barzola,24,57,2,1,0,1,3,5,Bantamweight,M-DEC,3,5:00,draw,http://www.ufcstats.com/fight-details/e2503ed6a1f9257d
UFC_Fight_Night-Lee_vs_Oliveira,"March 14, 2020",Maryna Moroz,Mayra Bueno Silva,139,88,2,0,0,0,1,0,Women's Flyweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/2a1826612a7d739c
UFC_Fight_Night-Lee_vs_Oliveira,"March 14, 2020",David Dvorak,Bruno Silva,67,45,0,3,0,0,1,2,Flyweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/1a2d13834696c4ab
UFC_Fight_Night-Lee_vs_Oliveira,"March 14, 2020",Bea Malecki,Veronica Macedo,130,93,0,0,0,0,2,0,Women's Bantamweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/ef526567c4dcf371
UFC_248-Adesanya_vs_Romero,"March 07, 2020",Israel Adesanya,Yoel Romero,48,40,0,0,0,0,0,0,Middleweight,U-DEC,5,5:00,fighter_1,http://www.ufcstats.com/fight-details/b46f2f007b622bce
UFC_248-Adesanya_vs_Romero,"March 07, 2020",Weili Zhang,Joanna Jedrzejczyk,165,186,1,0,0,0,0,0,Women's Strawweight,S-DEC,5,5:00,fighter_1,http://www.ufcstats.com/fight-details/cf0a6466b762c668
UFC_248-Adesanya_vs_Romero,"March 07, 2020",Beneil Dariush,Drakkar Klose,12,15,1,0,2,0,1,0,Lightweight,"KO/TKO, Punch",2,1:00,fighter_1,http://www.ufcstats.com/fight-details/891470d896b1de5a
UFC_248-Adesanya_vs_Romero,"March 07, 2020",Neil Magny,Jingliang Li,74,16,4,2,0,0,2,0,Welterweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/d66a8591af39ca7b
UFC_248-Adesanya_vs_Romero,"March 07, 2020",Alex Oliveira,Max Griffin,40,23,1,2,0,0,2,2,Welterweight,S-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/4d607b6ddc77a34c
UFC_248-Adesanya_vs_Romero,"March 07, 2020",Sean O'Malley,Jose Quinonez,18,0,0,0,0,0,0,0,Bantamweight,"KO/TKO, Punches",1,2:02,fighter_1,http://www.ufcstats.com/fight-details/cd258394e8d58d04
UFC_248-Adesanya_vs_Romero,"March 07, 2020",Mark Madsen,Austin Hubbard,15,41,8,0,0,0,3,0,Lightweight,U-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/60c441c5838dfac2
UFC_248-Adesanya_vs_Romero,"March 07, 2020",Rodolfo Vieira,Saparbeg Safarov,5,5,2,0,1,0,2,0,Middleweight,"SUB, Arm, Triangle",1,2:58,fighter_1,http://www.ufcstats.com/fight-details/a70c43cafabc73c3
UFC_248-Adesanya_vs_Romero,"March 07, 2020",Gerald Meerschaert,Deron Winn,86,53,1,1,1,0,1,0,Middleweight,"SUB, Rear, Naked, Choke",3,2:13,fighter_1,http://www.ufcstats.com/fight-details/d671f436fab2a252
UFC_248-Adesanya_vs_Romero,"March 07, 2020",Giga Chikadze,Jamall Emmers,38,54,0,2,0,0,0,1,Featherweight,S-DEC,3,5:00,fighter_1,http://www.ufcstats.com/fight-details/daa38964824f1b9f
